NOMBRE,TIPO,DURACIÓN,1 EJ,2 EJ,3 EJ,4 EJ
VERMAX,AMRAP,20',5 Handstand Push Ups,10 Pistols Squats,15 Pull Ups
MELEYS,FOR TIME,4 Rounds,30 Double Unders,5 Muscle Ups,5 Wall Climbs,10 Pistols
SILVERWING,EMOM,20',5 Chest to Bar,5 Toes to Bar,5 Handstand Push Ups,10 Double Unders
ARRAX,EMOM,20',6 Handstand Push Ups,8 Toes to Bar,150m Run,6 Ring Dips
DREAMFYRE,EMOM,30',4 Ring Dips,4 Pull Ups,4 Pistol Squats
TYRAXES,EMOM,20',3 Chest to Bar,3 Toes to Bar,3 Handstand Push Ups,10 Double Unders
SHRYKOS,EMOM,20',4 Bar Muscle Ups,5 Burpees,6 Thursters
MORGHUL,FOR TIME,50-40-30-20-10,Push Ups,Handstand (seconds)
BÁRBARA,FOR TIME,5 rondas con 3' de descanso,20 Pull Ups,20 Push ups,40 Sit ups,50 Squats
CHELSEA,EMOM,30',5 Pull Ups,10 Push Ups,15 Squats
MARY,AMRAP,20',5 Handstand Push Ups,10 Pistol Squats,15 Pul Ups
CINDY,AMRAP,20',5 Pull Ups,10 Push Ups,15 Squats
ANNIE,FOR TIME,50-40-30-20-10,Double unders,Sit Ups
NICOLE,AMRAP,20',400m run,Pull-Ups MAX
ANGIE,FOR TIME,100-100-100-100,Pull Ups,Push Ups,Sit Ups,Squats
EVA,FOR TIME,5 Rounds,800m run,30 Kettlebell swings,30 Pull Ups
HELEN,FOR TIME,3 Rounds,400m run,21 Kettlebell Swings,12 Pull Ups
DIANE,FOR TIME,21-15-9,Deadlift,Handstand Push Ups
FRAN,FOR TIME,21-15-9,Thursters,Pull Ups
JT,FOR TIME,21-15-9,Handstand Push Ups,Ring Dips,Push Ups
Badger,FOR TIME,3 Rounds,30 Squat Cleans,30 Pull Ups,800m run
ANA,FOR TIME,4 Rounds,20 Push Ups,15 Toes to Bar,10 Burpees,5 Pull Ups,1 Muscle Up,5 Bar Dips
PUSH-PULL COMPLEX,FOR TIME,4 Rounds,15 Push Ups, 12 Toes to Bar,10 Burpees,7 Pull Ups, 1 Complex: 1 Muscle Up + 5 Bar dips + 3 Chin Ups (unbroken)
